"outbreak.year","severity","start","end","window.start","window.end"
1348,"major",1348.03825136612,1349.95342465753,1348.74863387978,1349.32876712329
1361,"major",1361.03835616438,1361.95342465753,1361.16164383562,1361.49589041096
1368,"major",1368.0,1369.0		      ,1368.16393442623,1368.74863387978
1375,"major",1375.03835616438,1375.95342465753,1375.2301369863 ,1375.61917808219
1563,"major",1563.42465753425,1564.03551912568,1563.45205479452,1563.95342465753
1578,"minor",1577.98356164384,1581.29863013699,1577.98356164384,1581.29863013699
1581,"minor",1581.31780821918,1582.04657534247,1581.31780821918,1582.04657534247
1582,"minor",1582.06575342466,1583.06301369863,1582.06575342466,1583.06301369863
1593,"major",1593.20547945205,1593.97260273973,1593.45205479452,1593.95342465753
1603,"major",1603.20547945205,1603.97260273973,1603.45205479452,1603.87123287671
1606,"minor",1605.98356164384,1607.42191780822,1605.98356164384,1607.42191780822
1607,"minor",1607.44109589041,1608.09289617486,1607.44109589041,1608.09289617486
1608,"minor",1608.11202185792,1609.14520547945,1608.11202185792,1609.14520547945
1609,"minor",1609.16438356164,1609.43287671233,1609.16438356164,1609.43287671233
1609.5,"minor",1609.45205479452,1610.16164383562,1609.45205479452,1610.16164383562
1610,"minor",1610.18082191781,1610.96712328767,1610.18082191781,1610.96712328767
1625,"major",1624.9781420765,1625.95342465753 ,1625.45205479452,1625.87123287671
1630,"minor",1629.97808219178,1630.95616438356,1629.97808219178,1630.95616438356
1636,"minor",1635.97808219178,1637.95068493151,1635.97808219178,1637.95068493151
1639,"minor",1639.96438356164,1641.1698630137 ,1639.96438356164,1641.1698630137 
1641,"minor",1641.18904109589,1642.18630136986,1641.18904109589,1642.18630136986
1642,"minor",1642.20547945205,1643.10684931507,1642.20547945205,1643.10684931507
1643,"minor",1643.12602739726,1644.16393442623,1643.12602739726,1644.16393442623
1644,"minor",1644.18032786885,1645.21369863014,1644.18032786885,1645.21369863014
1645,"minor",1645.23287671233,1646.07671232877,1645.23287671233,1646.07671232877
1646,"minor",1646.09589041096,1647.37534246575,1646.09589041096,1647.37534246575
1647,"minor",1647.39452054795,1647.95068493151,1647.39452054795,1647.95068493151
1665,"major",1664.98907103825,1666.96164383562,1665.49589041096,1665.87123287671
